Date : 2026-06-11 13:40:04
Directory : c:\Programowanie\inzFrontend\english-teaching-app-frontend
Total : 417 files,  56291 codes, 119 comments, 3926 blanks, all 60336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.scss          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.spec.ts       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.ts            | TypeScript         |         77 |          0 |          9 |         86 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.html                        | HTML               |        250 |          0 |         15 |        265 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.ts                          | TypeScript         |        139 |          0 |         16 |        155 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.configurator.ts                                           | TypeScript         |        414 |          0 |         28 |        442 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.floatingconfigurator.ts                                   | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.footer.ts                                                 | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.layout.ts                                                 | TypeScript         |        100 |          0 |         16 |        116 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.menu.ts                                                   | TypeScript         |        197 |         15 |         11 |        223 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.menuitem.ts                                               | TypeScript         |        143 |          4 |         24 |        171 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.sidebar.ts                                                | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.topbar.ts                                                 | TypeScript         |        196 |          0 |         12 |        208 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\service\layout.service.ts                                               | TypeScript         |        137 |          0 |         42 |        179 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.html                                    | HTML               |        111 |          0 |          9 |        120 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.scss                                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.ts                                      | TypeScript         |        114 |          0 |         18 |        132 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.html                        | HTML               |        186 |          0 |         36 |        222 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.ts                          | TypeScript         |         76 |          0 |         13 |         89 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.html                              | HTML               |         82 |          0 |         15 |         97 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.ts                                | TypeScript         |        105 |          0 |         12 |        117 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.html                            | HTML               |         92 |          0 |         10 |        102 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.scss                            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.ts                              | TypeScript         |         70 |          0 |         11 |         81 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.html            | HTML               |         75 |          0 |          8 |         83 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.scss            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.ts              | TypeScript         |        113 |          0 |         27 |        140 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.html                              | HTML               |         48 |          0 |          8 |         56 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.ts                                | TypeScript         |         58 |          0 |          5 |         63 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.html                      | HTML               |        160 |          0 |         15 |        175 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.scss                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.ts                        | TypeScript         |         90 |          0 |         15 |        105 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.html                              | HTML               |         49 |          0 |          4 |         53 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.ts                                | TypeScript         |         41 |          0 |          6 |         47 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-last-week\lesson-last-week.component.html                        | HTML               |        103 |          0 |         12 |        115 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-last-week\lesson-last-week.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-last-week\lesson-last-week.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-last-week\lesson-last-week.component.ts                          | TypeScript         |         47 |          0 |          7 |         54 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-mode\lesson-mode.component.html                                  | HTML               |        457 |          3 |         50 |        510 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-mode\lesson-mode.component.scss                                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-mode\lesson-mode.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-mode\lesson-mode.component.ts                                    | TypeScript         |        505 |          0 |         54 |        559 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-notes\lesson-notes.component.html                                | HTML               |         57 |          0 |          8 |         65 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-notes\lesson-notes.component.scss                                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-notes\lesson-notes.component.spec.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-notes\lesson-notes.component.ts                                  | TypeScript         |         79 |          0 |          8 |         87 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-sentence-answers\lesson-sentence-answers.component.html          | HTML               |        230 |          8 |         29 |        267 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-sentence-answers\lesson-sentence-answers.component.scss          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-sentence-answers\lesson-sentence-answers.component.spec.ts       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-sentence-answers\lesson-sentence-answers.component.ts            | TypeScript         |        167 |          0 |         27 |        194 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-stats\lesson-stats.component.html                                | HTML               |         94 |          0 |         12 |        106 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-stats\lesson-stats.component.scss                                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-stats\lesson-stats.component.spec.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-stats\lesson-stats.component.ts                                  | TypeScript         |        101 |          0 |         11 |        112 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-study-time\lesson-study-time.component.html                      | HTML               |         79 |          0 |          8 |         87 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-study-time\lesson-study-time.component.scss                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-study-time\lesson-study-time.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-study-time\lesson-study-time.component.ts                        | TypeScript         |         65 |          0 |          7 |         72 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\onboard-client\onboard-client.component.html                            | HTML               |        280 |          0 |         37 |        317 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\onboard-client\onboard-client.component.scss                            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\onboard-client\onboard-client.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\onboard-client\onboard-client.component.ts                              | TypeScript         |        280 |          0 |         52 |        332 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\pronunciation-test\pronunciation-test.component.html                    | HTML               |         74 |          0 |         14 |         88 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\pronunciation-test\pronunciation-test.component.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\pronunciation-test\pronunciation-test.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\pronunciation-test\pronunciation-test.component.ts                      | TypeScript         |         63 |          0 |          9 |         72 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\report-listening\report-listening.component.html                        | HTML               |         84 |          0 |         16 |        100 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\report-listening\report-listening.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\report-listening\report-listening.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\report-listening\report-listening.component.ts                          | TypeScript         |        104 |          0 |         14 |        118 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\switch-client\switch-client.component.html                              | HTML               |         67 |          0 |          6 |         73 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\switch-client\switch-client.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\switch-client\switch-client.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\switch-client\switch-client.component.ts                                | TypeScript         |         49 |          0 |          4 |         53 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\admin-credits\admin-credits.component.html                               | HTML               |        144 |          4 |         13 |        161 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\admin-credits\admin-credits.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\admin-credits\admin-credits.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\admin-credits\admin-credits.component.ts                                 | TypeScript         |         80 |          0 |          9 |         89 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\avatar\avatar.component.html                                             | HTML               |          1 |          0 |          1 |          2 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\avatar\avatar.component.scss                                             | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\avatar\avatar.component.spec.ts                                          | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\avatar\avatar.component.ts                                               | TypeScript         |         40 |          0 |          5 |         45 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\credits\credits.component.html                                           | HTML               |        157 |          0 |         23 |        180 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\credits\credits.component.scss                                           | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\credits\credits.component.spec.ts                                        | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\credits\credits.component.ts                                             | TypeScript         |        101 |          0 |         12 |        113 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\dashboard\dashboard.component.html                                       | HTML               |        353 |          1 |         20 |        374 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\dashboard\dashboard.component.scss                                       | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\dashboard\dashboard.component.spec.ts                                    | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\dashboard\dashboard.component.ts                                         | TypeScript         |        104 |          0 |         20 |        124 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\ranking\ranking.component.html                                           | HTML               |        277 |          0 |         52 |        329 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\ranking\ranking.component.scss                                           | SCSS               |        529 |          0 |        104 |        633 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\ranking\ranking.component.spec.ts                                        | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\ranking\ranking.component.ts                                             | TypeScript         |        192 |          0 |         31 |        223 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\repertoire\repertoire.component.html                                     | HTML               |         91 |          7 |         17 |        115 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\repertoire\repertoire.component.scss                                     | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\repertoire\repertoire.component.spec.ts                                  | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\repertoire\repertoire.component.ts                                       | TypeScript         |         79 |          0 |         10 |         89 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\theater\theater.component.html                                           | HTML               |        141 |          1 |         14 |        156 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\theater\theater.component.scss                                           | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\theater\theater.component.spec.ts                                        | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\other\theater\theater.component.ts                                             | TypeScript         |        144 |          0 |         17 |        161 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\auth\access.ts                                                           | TypeScript         |         31 |          0 |          2 |         33 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\auth\auth.routes.ts                                                      | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\auth\error.ts                                                            | TypeScript         |         31 |          0 |          2 |         33 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\auth\login.ts                                                            | TypeScript         |         67 |          0 |          4 |         71 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\crud\crud.ts                                                             | TypeScript         |        356 |          0 |         31 |        387 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\documentation\documentation.ts                                           | TypeScript         |         72 |          0 |          2 |         74 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\empty\empty.ts                                                           | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\components\featureswidget.ts                                     | TypeScript         |        138 |          0 |          2 |        140 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\components\footerwidget.ts                                       | TypeScript         |         72 |          0 |          2 |         74 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\components\herowidget.ts                                         | TypeScript         |         24 |          0 |          2 |         26 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\components\highlightswidget.ts                                   | TypeScript         |         45 |          0 |          2 |         47 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\components\pricingwidget.ts                                      | TypeScript         |        118 |          0 |          2 |        120 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\components\topbarwidget.component.ts                             | TypeScript         |         65 |          0 |          2 |         67 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\landing\landing.ts                                                       | TypeScript         |         30 |          0 |          2 |         32 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\notfound\notfound.ts                                                     | TypeScript         |         67 |          0 |          2 |         69 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\pages.routes.ts                                                          | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\service\country.service.ts                                               | TypeScript         |        253 |          0 |          3 |        256 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\service\customer.service.ts                                              | TypeScript         |      9,046 |          0 |         12 |      9,058 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\service\icon.service.ts                                                  | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\service\node.service.ts                                                  | TypeScript         |        801 |          0 |         16 |        817 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\service\photo.service.ts                                                 | TypeScript         |        101 |          0 |          3 |        104 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\service\product.service.ts                                               | TypeScript         |      1,301 |          0 |         22 |      1,323 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\buttondemo.ts                                                      | TypeScript         |        188 |          0 |          5 |        193 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\chartdemo.ts                                                       | TypeScript         |        278 |          0 |         25 |        303 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\filedemo.ts                                                        | TypeScript         |         52 |          0 |          6 |         58 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\formlayoutdemo.ts                                                  | TypeScript         |        127 |          0 |          3 |        130 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\inputdemo.ts                                                       | TypeScript         |        307 |          0 |         33 |        340 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\listdemo.ts                                                        | TypeScript         |        196 |          0 |         16 |        212 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\mediademo.ts                                                       | TypeScript         |        120 |          0 |          9 |        129 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\menudemo.ts                                                        | TypeScript         |        539 |          0 |          2 |        541 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\messagesdemo.ts                                                    | TypeScript         |         71 |          0 |          9 |         80 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\miscdemo.ts                                                        | TypeScript         |        188 |          0 |          5 |        193 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\overlaydemo.ts                                                     | TypeScript         |        210 |          0 |         21 |        231 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\panelsdemo.ts                                                      | TypeScript         |        234 |          0 |          2 |        236 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\tabledemo.ts                                                       | TypeScript         |        532 |          1 |         37 |        570 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\timelinedemo.ts                                                    | TypeScript         |        137 |          0 |          5 |        142 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\treedemo.ts                                                        | TypeScript         |         64 |          0 |         10 |         74 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\pages\uikit\uikit.routes.ts                                                    | TypeScript         |         34 |          0 |          2 |         36 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\announcement.service.ts                                               | TypeScript         |         85 |          0 |         16 |        101 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\assignment.service.ts                                                 | TypeScript         |         86 |          0 |         19 |        105 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\attendance.service.ts                                                 | TypeScript         |         31 |          0 |          7 |         38 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\auth.service.spec.ts                                                  | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\auth.service.ts                                                       | TypeScript         |         95 |          2 |         16 |        113 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\catalogue.service.ts                                                  | TypeScript         |         56 |          0 |         11 |         67 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\course.service.ts                                                     | TypeScript         |         58 |          0 |         13 |         71 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\credit.service.ts                                                     | TypeScript         |         51 |          0 |          9 |         60 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\dashboard.service.ts                                                  | TypeScript         |         57 |          0 |          9 |         66 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\essay.service.ts                                                      | TypeScript         |         45 |          0 |          9 |         54 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\examination.service.ts                                                | TypeScript         |         36 |          0 |          6 |         42 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\lesson-context.service.ts                                             | TypeScript         |         20 |          0 |          5 |         25 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\lesson-panel.service.ts                                               | TypeScript         |        137 |          0 |         24 |        161 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\lesson.service.ts                                                     | TypeScript         |        164 |          0 |         33 |        197 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\matrix.service.ts                                                     | TypeScript         |         64 |          0 |         14 |         78 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\module.service.ts                                                     | TypeScript         |         88 |          0 |         17 |        105 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\options.service.ts                                                    | TypeScript         |         27 |          0 |          5 |         32 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\profile.service.ts                                                    | TypeScript         |         50 |          0 |          5 |         55 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\program.service.ts                                                    | TypeScript         |         50 |          0 |         11 |         61 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\ranking.service.ts                                                    | TypeScript         |         38 |          0 |          6 |         44 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\section-activity.service.ts                                           | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\sentence.service.ts                                                   | TypeScript         |        151 |          0 |         31 |        182 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\student-services\content.service.ts                                   | TypeScript         |        109 |          0 |         20 |        129 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\services\student-services\flashcard.service.ts                                 | TypeScript         |         54 |          0 |          9 |         63 |
